S_REF;CEP_e;EGES_e;CEP_f;EGES_f
8;682;100;819;132
9;634;97;765;128
10;593;94;720;125
11;563;92;687;123
12;538;91;658;121
13;516;89;634;120
14;497;88;612;118
15;481;86;594;117
16;472;86;584;116
17;464;85;576;115
18;457;85;569;115
19;450;84;562;115
20;445;84;556;114
21;440;84;551;114
22;435;83;546;113
23;431;83;542;113
24;427;83;538;113
25;423;83;534;113
26;420;82;531;113
27;417;82;527;112
28;414;82;524;112
29;411;82;522;112
30;409;82;519;112
31;406;82;517;112
32;404;81;514;111
33;402;81;512;111
34;400;81;510;111
35;398;81;508;111
36;397;81;507;111
37;395;81;505;111
38;393;81;503;111
39;392;81;502;111
40;390;80;500;110
